	symbol	available_exchanges	currency_base	currency_quote
238	AUDIO/USD	['Binance']	Audius	US Dollar
239	AURA/USD	['Synthetic']	Aurora-DAO	US Dollar
240	AUR/BTC	['YoBit']	Auroracoin	Bitcoin
241	AUR/USD	['Synthetic']	Auroracoin	US Dollar
242	AUSD/USD	['Uniswap']	AUSD	US Dollar
243	AUTO/BTC	['HitBTC']	Cube	Bitcoin
244	AUTO/USD	['Synthetic']	Cube	US Dollar
245	AU/USD	['Synthetic']	AurumCoin	US Dollar
246	AVAX/BRL	['Binance']	Avalanche	Brazil Real
247	AVAX/BTC	['Binance', 'Huobi']	Avalanche	Bitcoin
248	AVAX/CAD	['Synthetic']	Avalanche	Canadian Dollar
249	AVAX/EUR	['Binance']	Avalanche	Euro
250	AVAX/TRY	['Paribu']	Avalanche	Turkish Lira
251	AVAX/USD	['Binance', 'Huobi']	Avalanche	US Dollar
252	AV/BTC	['YoBit']	AvatarCoin	Bitcoin
253	AVT/BTC	['Mercatox']	Aventus	Bitcoin
254	AVT/ETH	['HitBTC', 'Mercatox']	Aventus	Ethereum
255	AVT/USD	['Synthetic']	Aventus	US Dollar
256	AV/USD	['Synthetic']	AvatarCoin	US Dollar
257	AWR/USD	['Synthetic']	AWARE	US Dollar
258	AXIOM/BTC	['YoBit']	Axiom	Bitcoin
259	AXIOM/USD	['Synthetic']	Axiom	US Dollar
260	AXL/USD	['Binance']	Axelar	US Dollar
261	AXPR/BTC	['Kucoin']	aXpire	Bitcoin
262	AXPR/ETH	['Kucoin']	aXpire	Ethereum
263	AXPR/USD	['Synthetic']	aXpire	US Dollar
264	AXS/BRL	['Synthetic']	Axie Infinity	Brazil Real
265	AXS/CAD	['Synthetic']	Axie Infinity	Canadian Dollar
266	AXS/EUR	['Coinbase Pro', 'Kraken']	Axie Infinity	Euro
267	AXS/KRW	['Bithumb']	Axie Infinity	Korean Won
268	AXS/USD	['Binance']	Axie Infinity	US Dollar
269	B2B/BTC	['YoBit']	B2BX	Bitcoin
270	B2B/USD	['Synthetic']	B2BX	US Dollar
271	B2M/USD	['Bittrex']	Bit2Me	US Dollar
272	B2X/BTC	['YoBit']	SegWit2x	Bitcoin
273	B2X/USD	['YoBit']	SegWit2x	US Dollar
274	BAC/USD	['Synthetic']	BitAlphaCoin	US Dollar
275	BADGER/USD	['Binance', 'Coinbase Pro']	Badger DAO	US Dollar
276	BAKE/INR	['Bitbns']	BakeryToken	Indian Rupee
277	BAKE/USD	['Binance']	BakeryToken	US Dollar
278	BAL/USD	['Binance', 'Coinbase Pro']	Balancer	US Dollar
279	BAN/BTC	['Mercatox']	Banano Coin	Bitcoin
280	BANCA/ETH	['HitBTC', 'Hotbit']	Banca	Ethereum
281	BANCA/USD	['Synthetic']	Banca	US Dollar
282	BAND/BNB	['Binance']	Band Protocol	Binance Coin
283	BAND/BTC	['Binance']	Band Protocol	Bitcoin
284	BAND/USD	['Binance']	Band Protocol	US Dollar
285	BAN/USD	['Synthetic']	Banano Coin	US Dollar
286	BASH/USD	['Synthetic']	LuckChain	US Dollar
287	BAT/BTC	['Binance', 'IDCM']	Basic Attention Token 	Bitcoin
288	BAT/ETH	['Bibox', 'Binance', 'Coinbase Pro']	Basic Attention Token	Ethereum
289	BAT/EUR	['Kraken']	Basic Attention Token	Euro
290	BAT/INR	['Bitbns']	Basic Attention Token	Indian Rupee
291	BAT/JPY	['Bitbank']	Basic Attention Token	Japanese Yen
292	BAT/MXN	['Bitso']	Basic Attention Token	Mexican Peso
293	BAT/TRY	['Paribu']	Basic Attention Token	Turkish Lira
294	BAT/USD	['Bibox', 'Binance']	Basic Attention Token	US Dollar
295	BAT/USDC	['Coinbase Pro']	Basic Attention Token	USD Coin
296	BAX/ETH	['CoinTiger']	BABB	Ethereum
297	BAX/USD	['CoinTiger', 'Synthetic']	BABB	US Dollar
298	BAY/USD	['Synthetic']	BitBay	US Dollar
299	BBC/BTC	['CoinAll']	TraDove B2BCoin	Bitcoin
300	BBC/USD	['Synthetic']	TraDove B2BCoin	US Dollar
301	BBK/ETH	['IDEX']	Brickblock	Ethereum
302	BBK/USD	['Synthetic']	Brickblock	US Dollar
303	BBT/BTC	['Mercatox', 'YoBit']	BitBoost	Bitcoin
304	BBT/USD	['Synthetic']	BitBoost	US Dollar
305	BCA/BTC	['STEX', 'YoBit']	Bitcoin Atom	Bitcoin
306	BCAP/USD	['Synthetic']	BCAP	US Dollar
307	BCA/USD	['YoBit']	Bitcoin Atom	US Dollar
308	BCD/BTC	['Binance', 'Huobi']	Bitcoin Diamond	Bitcoin
309	BCD/ETH	['Kucoin']	Bitcoin Diamond	Ethereum
310	BCD/IDR	['Indodax']	Bitcoin Diamond	Indonesian Rupiah
311	BCD/KRW	['Bithumb']	Bitcoin Diamond	Korean Won
312	BCDN/USD	['Gate.io']	BlockCDN	US Dollar
313	BCD/USD	['Gate.io', 'OKEx']	Bitcoin Diamond	US Dollar
314	BCHABC/AUD	['BTC Markets']	Bitcoin Cash	Australian Dollar
315	BCHABC/BTC	['Binance', 'OKEx']	Bitcoin Cash	Bitcoin
316	BCHABC/IDR	['Indodax']	Bitcoin Cash	Indonesian Rupiah
317	BCHABC/INR	['Bitbns']	Bitcoin Cash	Indian Rupee
318	BCHABC/ZAR	['AltCoinTrader']	Bitcoin Cash	South African Rand
319	BCH/AUD	['Synthetic']	Bitcoin Cash	Australian Dollar
320	BCH/BNB	['Binance']	Bitcoin Cash	Binance Coin
321	BCH/BRL	['MercadoBitcoin']	Bitcoin Cash	Brazil Real
322	BCH/BTC	['Bibox', 'Bittrex']	Bitcoin Cash	Bitcoin
323	BCH/CAD	['Synthetic']	Bitcoin Cash	Canadian Dollar
324	BCH/CNY	['Synthetic']	Bitcoin Cash	Chinese Yuan
325	BCH/ETH	['Bibox', 'Exmo']	Bitcoin Cash	Ethereum
